ID,e1_pr,e1_vol,e1_s1,e1_s2,e1_s3,e1_s4,e1_s5,e1_mean,e1_var,e2_pr,e2_vol,e2_s1,e2_s2,e2_s3,e2_s4,e2_s5,e2_mean,e2_var,b1_pr,b1_vol,b1_s1,b1_s2,b1_s3,b1_s4,b1_s5,b1_mean,b1_var,b2_pr,b2_vol,b2_s1,b2_s2,b2_s3,b2_s4,b2_s5,b2_mean,b2_var
11,27.99,13700,0.73,0.11,0.05,0.04,0.07,4.4,1.4,23.99,14690,0.79,0.1,0.01,0.01,0.09,4.5,1.4,16.99,19707,0.66,0.22,0.04,0.01,0.07,4.4,1.2,14.99,16095,0.56,0.35,0.04,0.04,0.01,4.4,0.7
12,23.99,11228,0.72,0.15,0.01,0.03,0.09,4.4,1.5,23.99,16031,0.64,0.13,0.12,0.1,0.01,4.3,1.2,12.99,16151,0.46,0.44,0.05,0.03,0.02,4.3,0.7,16.99,10603,0.78,0.08,0.03,0.05,0.06,4.5,1.3
13,23.99,14899,0.72,0.11,0.08,0.03,0.06,4.4,1.3,27.99,16547,0.59,0.2,0.14,0.05,0.02,4.3,1,14.99,18496,0.76,0.1,0.06,0.06,0.02,4.5,1,12.99,19063,0.46,0.42,0.1,0.01,0.01,4.3,0.6
14,23.99,15087,0.56,0.35,0.04,0.04,0.01,4.4,0.7,23.99,17333,0.58,0.24,0.11,0.03,0.04,4.3,1.1,16.99,12633,0.71,0.18,0.05,0.03,0.03,4.5,0.9,14.99,10545,0.56,0.35,0.04,0.04,0.01,4.4,0.7
15,25.99,16514,0.76,0.1,0.06,0.06,0.02,4.5,1,23.99,17353,0.65,0.25,0.07,0.01,0.02,4.5,0.7,12.99,16390,0.58,0.24,0.11,0.03,0.04,4.3,1.1,16.99,14201,0.67,0.21,0.08,0.01,0.03,4.5,0.8
16,25.99,17101,0.79,0.1,0.01,0.01,0.09,4.5,1.4,25.99,15202,0.63,0.22,0.02,0.06,0.07,4.3,1.4,12.99,15455,0.76,0.1,0.06,0.06,0.02,4.5,1,16.99,17213,0.57,0.33,0.05,0.02,0.03,4.4,0.8
17,23.99,10638,0.79,0.1,0.01,0.01,0.09,4.5,1.4,23.99,16976,0.59,0.2,0.14,0.05,0.02,4.3,1,16.99,15124,0.57,0.33,0.05,0.02,0.03,4.4,0.8,14.99,18243,0.59,0.2,0.14,0.05,0.02,4.3,1
18,23.99,16824,0.53,0.34,0.11,0.01,0.01,4.4,0.6,27.99,12441,0.76,0.1,0.06,0.06,0.02,4.5,1,14.99,18156,0.76,0.1,0.06,0.06,0.02,4.5,1,12.99,18888,0.53,0.34,0.11,0.01,0.01,4.4,0.6
19,27.99,15061,0.79,0.1,0.01,0.01,0.09,4.5,1.4,27.99,16633,0.66,0.22,0.04,0.01,0.07,4.4,1.2,16.99,10060,0.76,0.14,0.01,0.03,0.06,4.5,1.2,12.99,18359,0.46,0.44,0.05,0.03,0.02,4.3,0.7
20,25.99,19647,0.67,0.21,0.08,0.01,0.03,4.5,0.8,27.99,13278,0.61,0.24,0.04,0.05,0.06,4.3,1.3,16.99,16782,0.72,0.15,0.01,0.03,0.09,4.4,1.5,16.99,13657,0.64,0.13,0.12,0.1,0.01,4.3,1.2
21,27.99,17245,0.76,0.1,0.06,0.06,0.02,4.5,1,27.99,17961,0.72,0.15,0.01,0.03,0.09,4.4,1.5,12.99,19833,0.46,0.42,0.1,0.01,0.01,4.3,0.6,14.99,19912,0.73,0.11,0.05,0.04,0.07,4.4,1.4
22,23.99,19493,0.76,0.14,0.01,0.03,0.06,4.5,1.2,23.99,19865,0.72,0.15,0.01,0.03,0.09,4.4,1.5,12.99,12094,0.46,0.44,0.05,0.03,0.02,4.3,0.7,12.99,10745,0.65,0.25,0.08,0.01,0.01,4.5,0.6
23,27.99,12249,0.58,0.24,0.11,0.03,0.04,4.3,1.1,27.99,10213,0.76,0.1,0.06,0.06,0.02,4.5,1,14.99,14391,0.73,0.11,0.05,0.04,0.07,4.4,1.4,14.99,11323,0.78,0.08,0.03,0.05,0.06,4.5,1.3
24,23.99,14610,0.77,0.1,0.07,0.01,0.05,4.5,1.1,25.99,17015,0.72,0.11,0.08,0.03,0.06,4.4,1.3,12.99,11381,0.66,0.22,0.04,0.01,0.07,4.4,1.2,12.99,10394,0.58,0.24,0.11,0.03,0.04,4.3,1.1
25,27.99,11995,0.56,0.25,0.14,0.03,0.02,4.3,0.9,27.99,16229,0.64,0.13,0.12,0.1,0.01,4.3,1.2,12.99,12129,0.72,0.15,0.01,0.03,0.09,4.4,1.5,12.99,13618,0.76,0.1,0.06,0.06,0.02,4.5,1
26,27.99,14753,0.76,0.14,0.01,0.03,0.06,4.5,1.2,23.99,15751,0.46,0.44,0.05,0.03,0.02,4.3,0.7,12.99,11060,0.65,0.25,0.08,0.01,0.01,4.5,0.6,12.99,16539,0.66,0.22,0.04,0.01,0.07,4.4,1.2
27,27.99,16885,0.63,0.22,0.02,0.06,0.07,4.3,1.4,27.99,17368,0.73,0.11,0.05,0.04,0.07,4.4,1.4,14.99,16250,0.64,0.13,0.12,0.1,0.01,4.3,1.2,16.99,13869,0.63,0.22,0.02,0.06,0.07,4.3,1.4
28,27.99,12015,0.64,0.13,0.12,0.1,0.01,4.3,1.2,27.99,19680,0.64,0.23,0.06,0.04,0.03,4.4,1,14.99,12583,0.67,0.16,0.1,0.03,0.04,4.4,1.1,16.99,19410,0.57,0.33,0.05,0.02,0.03,4.4,0.8
29,25.99,13164,0.64,0.23,0.06,0.04,0.03,4.4,1,23.99,12907,0.73,0.11,0.05,0.04,0.07,4.4,1.4,12.99,19898,0.64,0.13,0.12,0.1,0.01,4.3,1.2,16.99,18869,0.53,0.34,0.11,0.01,0.01,4.4,0.6
30,27.99,15004,0.56,0.25,0.14,0.03,0.02,4.3,0.9,27.99,13458,0.79,0.1,0.01,0.01,0.09,4.5,1.4,14.99,15062,0.64,0.13,0.12,0.1,0.01,4.3,1.2,14.99,14241,0.53,0.34,0.11,0.01,0.01,4.4,0.6
31,25.99,11783,0.46,0.42,0.1,0.01,0.01,4.3,0.6,25.99,19565,0.7,0.09,0.08,0.07,0.06,4.3,1.5,14.99,11666,0.67,0.16,0.1,0.03,0.04,4.4,1.1,14.99,10747,0.73,0.11,0.05,0.04,0.07,4.4,1.4
32,27.99,18152,0.66,0.22,0.04,0.01,0.07,4.4,1.2,27.99,19983,0.67,0.16,0.1,0.03,0.04,4.4,1.1,16.99,11897,0.46,0.42,0.1,0.01,0.01,4.3,0.6,12.99,16476,0.78,0.08,0.03,0.05,0.06,4.5,1.3
33,23.99,10410,0.58,0.24,0.11,0.03,0.04,4.3,1.1,23.99,14113,0.65,0.25,0.08,0.01,0.01,4.5,0.6,14.99,11995,0.6,0.29,0.05,0.02,0.04,4.4,0.9,12.99,13720,0.67,0.16,0.1,0.03,0.04,4.4,1.1
34,25.99,17130,0.65,0.25,0.08,0.01,0.01,4.5,0.6,25.99,16476,0.65,0.25,0.08,0.01,0.01,4.5,0.6,14.99,15414,0.71,0.18,0.05,0.03,0.03,4.5,0.9,16.99,12791,0.79,0.1,0.01,0.01,0.09,4.5,1.4
35,23.99,10402,0.57,0.33,0.05,0.02,0.03,4.4,0.8,23.99,12956,0.79,0.1,0.01,0.01,0.09,4.5,1.4,14.99,12935,0.78,0.08,0.03,0.05,0.06,4.5,1.3,12.99,13312,0.59,0.2,0.14,0.05,0.02,4.3,1
36,27.99,10394,0.67,0.16,0.1,0.03,0.04,4.4,1.1,23.99,18534,0.85,0.03,0.02,0.01,0.09,4.5,1.5,14.99,11679,0.7,0.09,0.08,0.07,0.06,4.3,1.5,16.99,18761,0.56,0.25,0.14,0.03,0.02,4.3,0.9
37,25.99,12830,0.57,0.33,0.05,0.02,0.03,4.4,0.8,25.99,14991,0.77,0.1,0.07,0.01,0.05,4.5,1.1,12.99,11991,0.56,0.35,0.04,0.04,0.01,4.4,0.7,14.99,10135,0.76,0.1,0.06,0.06,0.02,4.5,1
38,27.99,17194,0.66,0.22,0.04,0.01,0.07,4.4,1.2,27.99,12758,0.79,0.1,0.01,0.01,0.09,4.5,1.4,12.99,15861,0.65,0.25,0.08,0.01,0.01,4.5,0.6,14.99,13203,0.59,0.2,0.14,0.05,0.02,4.3,1
39,23.99,19826,0.73,0.11,0.05,0.04,0.07,4.4,1.4,25.99,19053,0.76,0.1,0.06,0.06,0.02,4.5,1,16.99,12490,0.72,0.15,0.01,0.03,0.09,4.4,1.5,12.99,16067,0.46,0.44,0.05,0.03,0.02,4.3,0.7
40,23.99,16263,0.59,0.2,0.14,0.05,0.02,4.3,1,27.99,12740,0.59,0.2,0.14,0.05,0.02,4.3,1,12.99,11632,0.58,0.24,0.11,0.03,0.04,4.3,1.1,14.99,12709,0.73,0.11,0.05,0.04,0.07,4.4,1.4
41,27.99,11852,0.77,0.1,0.07,0.01,0.05,4.5,1.1,27.99,14563,0.73,0.11,0.05,0.04,0.07,4.4,1.4,16.99,10433,0.59,0.2,0.14,0.05,0.02,4.3,1,16.99,16932,0.57,0.33,0.05,0.02,0.03,4.4,0.8
42,25.99,10296,0.73,0.11,0.05,0.04,0.07,4.4,1.4,25.99,18519,0.56,0.35,0.04,0.04,0.01,4.4,0.7,12.99,17078,0.76,0.1,0.06,0.06,0.02,4.5,1,16.99,12767,0.77,0.1,0.07,0.01,0.05,4.5,1.1
43,25.99,12456,0.72,0.15,0.01,0.03,0.09,4.4,1.5,23.99,18745,0.59,0.2,0.14,0.05,0.02,4.3,1,12.99,18835,0.65,0.25,0.08,0.01,0.01,4.5,0.6,16.99,19611,0.73,0.11,0.05,0.04,0.07,4.4,1.4
44,25.99,15668,0.72,0.15,0.01,0.03,0.09,4.4,1.5,23.99,16050,0.72,0.15,0.01,0.03,0.09,4.4,1.5,12.99,13425,0.71,0.18,0.05,0.03,0.03,4.5,0.9,12.99,10045,0.56,0.35,0.04,0.04,0.01,4.4,0.7
45,23.99,12951,0.46,0.44,0.05,0.03,0.02,4.3,0.7,25.99,15811,0.65,0.25,0.07,0.01,0.02,4.5,0.7,16.99,19838,0.64,0.23,0.06,0.04,0.03,4.4,1,16.99,14284,0.46,0.42,0.1,0.01,0.01,4.3,0.6
46,23.99,18992,0.71,0.18,0.05,0.03,0.03,4.5,0.9,23.99,16401,0.64,0.23,0.06,0.04,0.03,4.4,1,14.99,18519,0.58,0.24,0.11,0.03,0.04,4.3,1.1,12.99,12194,0.71,0.18,0.05,0.03,0.03,4.5,0.9
47,25.99,19023,0.67,0.21,0.08,0.01,0.03,4.5,0.8,23.99,16955,0.65,0.25,0.07,0.01,0.02,4.5,0.7,16.99,19943,0.67,0.21,0.08,0.01,0.03,4.5,0.8,12.99,11539,0.73,0.11,0.05,0.04,0.07,4.4,1.4
48,25.99,17240,0.79,0.1,0.01,0.01,0.09,4.5,1.4,27.99,14995,0.79,0.1,0.01,0.01,0.09,4.5,1.4,16.99,15869,0.66,0.22,0.04,0.01,0.07,4.4,1.2,12.99,18744,0.72,0.11,0.08,0.03,0.06,4.4,1.3
49,27.99,17021,0.56,0.25,0.14,0.03,0.02,4.3,0.9,23.99,11991,0.78,0.08,0.03,0.05,0.06,4.5,1.3,12.99,14720,0.85,0.03,0.02,0.01,0.09,4.5,1.5,16.99,19354,0.56,0.35,0.04,0.04,0.01,4.4,0.7
50,25.99,18537,0.72,0.15,0.01,0.03,0.09,4.4,1.5,23.99,13906,0.53,0.34,0.11,0.01,0.01,4.4,0.6,12.99,16002,0.85,0.03,0.02,0.01,0.09,4.5,1.5,12.99,13262,0.71,0.18,0.05,0.03,0.03,4.5,0.9
51,27.99,11516,0.56,0.25,0.14,0.03,0.02,4.3,0.9,23.99,11174,0.58,0.24,0.11,0.03,0.04,4.3,1.1,12.99,10791,0.63,0.22,0.02,0.06,0.07,4.3,1.4,12.99,16353,0.63,0.22,0.02,0.06,0.07,4.3,1.4
52,23.99,14347,0.7,0.09,0.08,0.07,0.06,4.3,1.5,27.99,10895,0.67,0.21,0.08,0.01,0.03,4.5,0.8,14.99,16014,0.67,0.16,0.1,0.03,0.04,4.4,1.1,12.99,10947,0.53,0.34,0.11,0.01,0.01,4.4,0.6
53,23.99,13818,0.78,0.08,0.03,0.05,0.06,4.5,1.3,23.99,18401,0.76,0.1,0.06,0.06,0.02,4.5,1,16.99,14821,0.72,0.11,0.08,0.03,0.06,4.4,1.3,16.99,11918,0.65,0.25,0.07,0.01,0.02,4.5,0.7
54,25.99,13077,0.56,0.25,0.14,0.03,0.02,4.3,0.9,23.99,19772,0.64,0.23,0.06,0.04,0.03,4.4,1,16.99,16350,0.57,0.33,0.05,0.02,0.03,4.4,0.8,14.99,14257,0.67,0.16,0.1,0.03,0.04,4.4,1.1
55,23.99,16736,0.56,0.35,0.04,0.04,0.01,4.4,0.7,23.99,18117,0.77,0.1,0.07,0.01,0.05,4.5,1.1,14.99,17689,0.72,0.15,0.01,0.03,0.09,4.4,1.5,16.99,19234,0.56,0.35,0.04,0.04,0.01,4.4,0.7
56,27.99,12461,0.57,0.33,0.05,0.02,0.03,4.4,0.8,27.99,18164,0.79,0.1,0.01,0.01,0.09,4.5,1.4,14.99,11013,0.79,0.1,0.01,0.01,0.09,4.5,1.4,16.99,13564,0.58,0.24,0.11,0.03,0.04,4.3,1.1
57,27.99,12116,0.58,0.24,0.11,0.03,0.04,4.3,1.1,25.99,15951,0.64,0.23,0.06,0.04,0.03,4.4,1,14.99,12420,0.58,0.24,0.11,0.03,0.04,4.3,1.1,16.99,17214,0.6,0.29,0.05,0.02,0.04,4.4,0.9
58,23.99,13066,0.66,0.22,0.04,0.01,0.07,4.4,1.2,25.99,13006,0.72,0.11,0.08,0.03,0.06,4.4,1.3,14.99,15504,0.53,0.34,0.11,0.01,0.01,4.4,0.6,16.99,14854,0.76,0.1,0.06,0.06,0.02,4.5,1
59,27.99,14683,0.67,0.21,0.08,0.01,0.03,4.5,0.8,27.99,19111,0.56,0.35,0.04,0.04,0.01,4.4,0.7,12.99,19758,0.46,0.42,0.1,0.01,0.01,4.3,0.6,12.99,16084,0.51,0.33,0.11,0.03,0.02,4.3,0.8
60,25.99,14665,0.73,0.11,0.05,0.04,0.07,4.4,1.4,25.99,15217,0.56,0.35,0.04,0.04,0.01,4.4,0.7,14.99,12557,0.58,0.24,0.11,0.03,0.04,4.3,1.1,14.99,11739,0.76,0.1,0.06,0.06,0.02,4.5,1
61,23.99,16078,0.53,0.34,0.11,0.01,0.01,4.4,0.6,27.99,18320,0.61,0.24,0.04,0.05,0.06,4.3,1.3,12.99,12814,0.58,0.24,0.11,0.03,0.04,4.3,1.1,12.99,15472,0.64,0.13,0.12,0.1,0.01,4.3,1.2
62,25.99,16914,0.56,0.25,0.14,0.03,0.02,4.3,0.9,25.99,19856,0.56,0.35,0.04,0.04,0.01,4.4,0.7,12.99,10672,0.59,0.2,0.14,0.05,0.02,4.3,1,12.99,12422,0.46,0.42,0.1,0.01,0.01,4.3,0.6
63,27.99,18350,0.46,0.42,0.1,0.01,0.01,4.3,0.6,23.99,19295,0.67,0.16,0.1,0.03,0.04,4.4,1.1,16.99,12862,0.65,0.25,0.08,0.01,0.01,4.5,0.6,14.99,12704,0.66,0.22,0.04,0.01,0.07,4.4,1.2
64,25.99,18080,0.78,0.08,0.03,0.05,0.06,4.5,1.3,23.99,13582,0.61,0.24,0.04,0.05,0.06,4.3,1.3,14.99,10703,0.57,0.33,0.05,0.02,0.03,4.4,0.8,12.99,14899,0.63,0.22,0.02,0.06,0.07,4.3,1.4
65,23.99,10662,0.79,0.1,0.01,0.01,0.09,4.5,1.4,25.99,10447,0.72,0.11,0.08,0.03,0.06,4.4,1.3,12.99,12873,0.73,0.11,0.05,0.04,0.07,4.4,1.4,14.99,14066,0.63,0.22,0.02,0.06,0.07,4.3,1.4
66,23.99,16591,0.51,0.33,0.11,0.03,0.02,4.3,0.8,27.99,14148,0.65,0.25,0.08,0.01,0.01,4.5,0.6,12.99,13460,0.58,0.24,0.11,0.03,0.04,4.3,1.1,14.99,14136,0.7,0.09,0.08,0.07,0.06,4.3,1.5
67,23.99,13488,0.59,0.2,0.14,0.05,0.02,4.3,1,25.99,18156,0.76,0.1,0.06,0.06,0.02,4.5,1,12.99,17842,0.79,0.1,0.01,0.01,0.09,4.5,1.4,12.99,16356,0.65,0.25,0.08,0.01,0.01,4.5,0.6
68,25.99,12179,0.85,0.03,0.02,0.01,0.09,4.5,1.5,25.99,14023,0.64,0.23,0.06,0.04,0.03,4.4,1,12.99,15289,0.6,0.29,0.05,0.02,0.04,4.4,0.9,14.99,18423,0.58,0.24,0.11,0.03,0.04,4.3,1.1
69,25.99,19901,0.57,0.33,0.05,0.02,0.03,4.4,0.8,23.99,13705,0.59,0.2,0.14,0.05,0.02,4.3,1,16.99,18935,0.77,0.1,0.07,0.01,0.05,4.5,1.1,14.99,15806,0.72,0.15,0.01,0.03,0.09,4.4,1.5
70,25.99,13347,0.63,0.22,0.02,0.06,0.07,4.3,1.4,27.99,17151,0.72,0.15,0.01,0.03,0.09,4.4,1.5,16.99,16742,0.85,0.03,0.02,0.01,0.09,4.5,1.5,16.99,16663,0.71,0.18,0.05,0.03,0.03,4.5,0.9
71,27.99,18638,0.56,0.25,0.14,0.03,0.02,4.3,0.9,25.99,13462,0.58,0.24,0.11,0.03,0.04,4.3,1.1,12.99,18357,0.53,0.34,0.11,0.01,0.01,4.4,0.6,14.99,15847,0.66,0.22,0.04,0.01,0.07,4.4,1.2
72,27.99,10465,0.46,0.42,0.1,0.01,0.01,4.3,0.6,23.99,14520,0.67,0.16,0.1,0.03,0.04,4.4,1.1,14.99,14367,0.72,0.15,0.01,0.03,0.09,4.4,1.5,14.99,11937,0.72,0.11,0.08,0.03,0.06,4.4,1.3
73,23.99,14541,0.67,0.16,0.1,0.03,0.04,4.4,1.1,27.99,18704,0.46,0.42,0.1,0.01,0.01,4.3,0.6,12.99,17670,0.79,0.1,0.01,0.01,0.09,4.5,1.4,12.99,13851,0.73,0.11,0.05,0.04,0.07,4.4,1.4
74,23.99,17962,0.64,0.23,0.06,0.04,0.03,4.4,1,25.99,11796,0.46,0.44,0.05,0.03,0.02,4.3,0.7,16.99,10278,0.46,0.44,0.05,0.03,0.02,4.3,0.7,16.99,16309,0.72,0.15,0.01,0.03,0.09,4.4,1.5
75,27.99,12266,0.7,0.09,0.08,0.07,0.06,4.3,1.5,23.99,19527,0.6,0.29,0.05,0.02,0.04,4.4,0.9,14.99,18953,0.79,0.1,0.01,0.01,0.09,4.5,1.4,14.99,18730,0.76,0.1,0.06,0.06,0.02,4.5,1
76,25.99,18987,0.65,0.25,0.08,0.01,0.01,4.5,0.6,25.99,11697,0.72,0.11,0.08,0.03,0.06,4.4,1.3,14.99,13172,0.56,0.35,0.04,0.04,0.01,4.4,0.7,16.99,17096,0.6,0.29,0.05,0.02,0.04,4.4,0.9
77,27.99,11356,0.56,0.35,0.04,0.04,0.01,4.4,0.7,23.99,19081,0.46,0.44,0.05,0.03,0.02,4.3,0.7,12.99,12590,0.72,0.15,0.01,0.03,0.09,4.4,1.5,16.99,13064,0.64,0.23,0.06,0.04,0.03,4.4,1
78,27.99,16385,0.85,0.03,0.02,0.01,0.09,4.5,1.5,27.99,19000,0.66,0.22,0.04,0.01,0.07,4.4,1.2,16.99,10233,0.56,0.35,0.04,0.04,0.01,4.4,0.7,14.99,12421,0.77,0.1,0.07,0.01,0.05,4.5,1.1
79,23.99,16833,0.73,0.11,0.05,0.04,0.07,4.4,1.4,27.99,12591,0.78,0.08,0.03,0.05,0.06,4.5,1.3,12.99,14197,0.71,0.18,0.05,0.03,0.03,4.5,0.9,16.99,14818,0.85,0.03,0.02,0.01,0.09,4.5,1.5
80,23.99,18853,0.46,0.44,0.05,0.03,0.02,4.3,0.7,23.99,11557,0.65,0.25,0.08,0.01,0.01,4.5,0.6,16.99,11838,0.77,0.1,0.07,0.01,0.05,4.5,1.1,12.99,15012,0.56,0.25,0.14,0.03,0.02,4.3,0.9
81,27.99,16918,0.65,0.25,0.07,0.01,0.02,4.5,0.7,25.99,12889,0.73,0.11,0.05,0.04,0.07,4.4,1.4,16.99,17499,0.56,0.25,0.14,0.03,0.02,4.3,0.9,12.99,19588,0.59,0.2,0.14,0.05,0.02,4.3,1
82,27.99,17664,0.65,0.25,0.07,0.01,0.02,4.5,0.7,27.99,17801,0.66,0.22,0.04,0.01,0.07,4.4,1.2,12.99,14137,0.64,0.23,0.06,0.04,0.03,4.4,1,14.99,13180,0.57,0.33,0.05,0.02,0.03,4.4,0.8
83,23.99,11655,0.65,0.25,0.08,0.01,0.01,4.5,0.6,27.99,12376,0.79,0.1,0.01,0.01,0.09,4.5,1.4,12.99,10005,0.71,0.18,0.05,0.03,0.03,4.5,0.9,14.99,12464,0.61,0.24,0.04,0.05,0.06,4.3,1.3
84,25.99,16488,0.76,0.14,0.01,0.03,0.06,4.5,1.2,25.99,18867,0.6,0.29,0.05,0.02,0.04,4.4,0.9,16.99,10547,0.53,0.34,0.11,0.01,0.01,4.4,0.6,16.99,12046,0.46,0.44,0.05,0.03,0.02,4.3,0.7
85,27.99,13175,0.64,0.13,0.12,0.1,0.01,4.3,1.2,23.99,14836,0.71,0.18,0.05,0.03,0.03,4.5,0.9,12.99,13918,0.51,0.33,0.11,0.03,0.02,4.3,0.8,14.99,10768,0.56,0.35,0.04,0.04,0.01,4.4,0.7
86,23.99,16103,0.65,0.25,0.08,0.01,0.01,4.5,0.6,25.99,10791,0.61,0.24,0.04,0.05,0.06,4.3,1.3,14.99,14642,0.71,0.18,0.05,0.03,0.03,4.5,0.9,12.99,17409,0.46,0.42,0.1,0.01,0.01,4.3,0.6
87,27.99,11226,0.6,0.29,0.05,0.02,0.04,4.4,0.9,27.99,15141,0.72,0.15,0.01,0.03,0.09,4.4,1.5,14.99,15411,0.61,0.24,0.04,0.05,0.06,4.3,1.3,12.99,12738,0.73,0.11,0.05,0.04,0.07,4.4,1.4
88,23.99,12246,0.73,0.11,0.05,0.04,0.07,4.4,1.4,23.99,17287,0.56,0.35,0.04,0.04,0.01,4.4,0.7,16.99,14636,0.67,0.16,0.1,0.03,0.04,4.4,1.1,12.99,19674,0.6,0.29,0.05,0.02,0.04,4.4,0.9
89,27.99,16023,0.71,0.18,0.05,0.03,0.03,4.5,0.9,27.99,12301,0.65,0.25,0.08,0.01,0.01,4.5,0.6,14.99,10507,0.66,0.22,0.04,0.01,0.07,4.4,1.2,12.99,13144,0.7,0.09,0.08,0.07,0.06,4.3,1.5
90,25.99,17918,0.46,0.42,0.1,0.01,0.01,4.3,0.6,23.99,14349,0.66,0.22,0.04,0.01,0.07,4.4,1.2,16.99,12376,0.71,0.18,0.05,0.03,0.03,4.5,0.9,14.99,17853,0.46,0.42,0.1,0.01,0.01,4.3,0.6
91,27.99,13870,0.67,0.16,0.1,0.03,0.04,4.4,1.1,27.99,15867,0.67,0.16,0.1,0.03,0.04,4.4,1.1,16.99,17594,0.78,0.08,0.03,0.05,0.06,4.5,1.3,12.99,13510,0.53,0.34,0.11,0.01,0.01,4.4,0.6
92,27.99,18495,0.46,0.42,0.1,0.01,0.01,4.3,0.6,25.99,19053,0.76,0.1,0.06,0.06,0.02,4.5,1,14.99,10805,0.76,0.14,0.01,0.03,0.06,4.5,1.2,12.99,18084,0.67,0.16,0.1,0.03,0.04,4.4,1.1
93,27.99,16913,0.79,0.1,0.01,0.01,0.09,4.5,1.4,25.99,15873,0.56,0.25,0.14,0.03,0.02,4.3,0.9,14.99,13711,0.65,0.25,0.08,0.01,0.01,4.5,0.6,12.99,12229,0.7,0.09,0.08,0.07,0.06,4.3,1.5
94,27.99,12281,0.57,0.33,0.05,0.02,0.03,4.4,0.8,25.99,14765,0.59,0.2,0.14,0.05,0.02,4.3,1,16.99,18740,0.77,0.1,0.07,0.01,0.05,4.5,1.1,14.99,13642,0.67,0.21,0.08,0.01,0.03,4.5,0.8
95,25.99,19851,0.67,0.16,0.1,0.03,0.04,4.4,1.1,25.99,11724,0.72,0.11,0.08,0.03,0.06,4.4,1.3,16.99,11361,0.65,0.25,0.08,0.01,0.01,4.5,0.6,12.99,10562,0.85,0.03,0.02,0.01,0.09,4.5,1.5
96,27.99,17999,0.58,0.24,0.11,0.03,0.04,4.3,1.1,25.99,11204,0.85,0.03,0.02,0.01,0.09,4.5,1.5,14.99,10001,0.67,0.16,0.1,0.03,0.04,4.4,1.1,14.99,10082,0.63,0.22,0.02,0.06,0.07,4.3,1.4
