ID,e1_pr,e1_vol,e1_s1,e1_s2,e1_s3,e1_s4,e1_s5,e1_mean,e1_var,e2_pr,e2_vol,e2_s1,e2_s2,e2_s3,e2_s4,e2_s5,e2_mean,e2_var,b1_pr,b1_vol,b1_s1,b1_s2,b1_s3,b1_s4,b1_s5,b1_mean,b1_var,b2_pr,b2_vol,b2_s1,b2_s2,b2_s3,b2_s4,b2_s5,b2_mean,b2_var
402,28.99,11933,0.82,0.03,0.04,0.05,0.06,4.5,1.36,26.99,9267,0.52,0.4,0.03,0.03,0.02,4.4,0.66,17.99,15366,0.66,0.22,0.09,0.02,0.01,4.5,0.7,16.99,11634,0.68,0.18,0.05,0.03,0.06,4.4,1.22
418,24.99,18374,0.52,0.4,0.03,0.03,0.02,4.4,0.66,28.99,19509,0.77,0.13,0.06,0.03,0.01,4.6,0.68,15.99,19616,0.52,0.4,0.03,0.03,0.02,4.4,0.66,16.99,5775,0.77,0.13,0.01,0.01,0.08,4.5,1.29
425,24.99,14805,0.65,0.19,0.11,0.03,0.02,4.4,0.91,24.99,7875,0.83,0.05,0.05,0.03,0.04,4.6,1.04,17.99,12903,0.72,0.15,0.07,0.02,0.04,4.5,1.02,17.99,7899,0.74,0.18,0.02,0.03,0.03,4.6,0.77
426,26.99,12796,0.6,0.28,0.08,0.02,0.02,4.4,0.76,28.99,6775,0.78,0.07,0.06,0.05,0.04,4.5,1.15,15.99,14247,0.82,0.09,0.01,0.03,0.05,4.6,1,15.99,17724,0.81,0.08,0.06,0.01,0.04,4.6,0.93
429,26.99,12603,0.68,0.19,0.04,0.02,0.07,4.4,1.27,28.99,12587,0.65,0.25,0.07,0.01,0.02,4.5,0.67,17.99,5348,0.86,0.03,0.01,0.04,0.06,4.6,1.22,16.99,6994,0.62,0.26,0.05,0.02,0.05,4.4,1.05
436,28.99,18584,0.62,0.26,0.05,0.02,0.05,4.4,1.05,24.99,12750,0.66,0.22,0.09,0.02,0.01,4.5,0.7,17.99,17110,0.71,0.17,0.01,0.02,0.09,4.4,1.43,17.99,10597,0.83,0.07,0.01,0.02,0.07,4.6,1.19
445,24.99,18579,0.78,0.07,0.06,0.05,0.04,4.5,1.15,28.99,14113,0.75,0.17,0.03,0.02,0.03,4.6,0.79,17.99,16493,0.77,0.12,0.01,0.05,0.05,4.5,1.21,17.99,18625,0.78,0.07,0.06,0.05,0.04,4.5,1.15
448,28.99,18003,0.82,0.01,0.01,0.07,0.09,4.4,1.74,28.99,6931,0.7,0.2,0.05,0.01,0.04,4.5,0.9,16.99,19969,0.6,0.28,0.08,0.02,0.02,4.4,0.76,15.99,9382,0.75,0.18,0.03,0.01,0.03,4.6,0.71
452,24.99,8860,0.75,0.17,0.03,0.02,0.03,4.6,0.79,24.99,19836,0.65,0.25,0.07,0.01,0.02,4.5,0.67,17.99,12617,0.64,0.24,0.1,0.01,0.01,4.5,0.61,16.99,8353,0.6,0.32,0.01,0.03,0.04,4.4,0.95
454,26.99,6889,0.69,0.18,0.07,0.02,0.04,4.5,0.93,28.99,10894,0.83,0.05,0.03,0.04,0.05,4.6,1.1,16.99,16224,0.82,0.05,0.02,0.01,0.1,4.5,1.5,15.99,15521,0.62,0.26,0.05,0.02,0.05,4.4,1.05
456,26.99,10289,0.83,0.07,0.01,0.02,0.07,4.6,1.19,26.99,14595,0.83,0.07,0.01,0.02,0.07,4.6,1.19,15.99,8684,0.77,0.12,0.05,0.03,0.03,4.6,0.86,17.99,15354,0.62,0.32,0.01,0.02,0.03,4.5,0.74
464,26.99,17240,0.77,0.13,0.06,0.03,0.01,4.6,0.68,24.99,15662,0.52,0.4,0.03,0.03,0.02,4.4,0.66,17.99,19447,0.68,0.19,0.04,0.02,0.07,4.4,1.27,16.99,6466,0.62,0.24,0.08,0.05,0.01,4.4,0.86
466,26.99,19700,0.72,0.13,0.11,0.01,0.03,4.5,0.87,28.99,16805,0.83,0.05,0.03,0.04,0.05,4.6,1.1,16.99,16902,0.75,0.18,0.01,0.03,0.03,4.6,0.81,15.99,12223,0.77,0.12,0.01,0.05,0.05,4.5,1.21
468,26.99,19777,0.77,0.13,0.01,0.01,0.08,4.5,1.29,24.99,15225,0.71,0.17,0.01,0.02,0.09,4.4,1.43,15.99,10594,0.61,0.26,0.08,0.04,0.01,4.4,0.8,16.99,17296,0.78,0.15,0.02,0.01,0.04,4.6,0.89
469,28.99,18040,0.66,0.22,0.09,0.02,0.01,4.5,0.7,26.99,10995,0.73,0.16,0.04,0.01,0.06,4.5,1.1,16.99,6621,0.78,0.15,0.02,0.01,0.04,4.6,0.89,15.99,17615,0.74,0.1,0.07,0.02,0.07,4.4,1.36
475,28.99,17939,0.76,0.08,0.02,0.06,0.08,4.4,1.54,24.99,10235,0.66,0.19,0.07,0.04,0.04,4.4,1.09,15.99,7065,0.82,0.04,0.04,0.02,0.08,4.5,1.43,16.99,5664,0.75,0.17,0.03,0.02,0.03,4.6,0.79
480,24.99,9489,0.69,0.18,0.07,0.02,0.04,4.5,0.93,26.99,14593,0.82,0.07,0.04,0.03,0.04,4.6,0.97,15.99,6210,0.76,0.08,0.04,0.02,0.1,4.4,1.64,16.99,9381,0.77,0.11,0.07,0.04,0.01,4.6,0.74
482,28.99,14561,0.74,0.14,0.05,0.03,0.04,4.5,1.06,24.99,5690,0.71,0.17,0.01,0.02,0.09,4.4,1.43,16.99,12680,0.64,0.26,0.02,0.01,0.07,4.4,1.15,17.99,9278,0.73,0.16,0.04,0.01,0.06,4.5,1.1
490,26.99,11275,0.82,0.09,0.01,0.03,0.05,4.6,1,24.99,14180,0.65,0.19,0.11,0.03,0.02,4.4,0.91,17.99,16101,0.74,0.18,0.02,0.03,0.03,4.6,0.77,15.99,12072,0.72,0.15,0.07,0.02,0.04,4.5,1.02
493,26.99,9473,0.74,0.14,0.05,0.03,0.04,4.5,1.06,24.99,12125,0.82,0.01,0.01,0.07,0.09,4.4,1.74,15.99,14074,0.76,0.08,0.04,0.02,0.1,4.4,1.64,15.99,13493,0.6,0.28,0.08,0.02,0.02,4.4,0.76
495,28.99,6654,0.69,0.14,0.14,0.02,0.01,4.5,0.77,26.99,5711,0.74,0.1,0.07,0.02,0.07,4.4,1.36,16.99,7233,0.75,0.12,0.1,0.02,0.01,4.6,0.65,17.99,17751,0.75,0.18,0.03,0.01,0.03,4.6,0.71
508,24.99,10804,0.6,0.32,0.01,0.03,0.04,4.4,0.95,26.99,12008,0.75,0.12,0.1,0.02,0.01,4.6,0.65,15.99,19258,0.7,0.2,0.05,0.01,0.04,4.5,0.9,15.99,15733,0.69,0.14,0.14,0.02,0.01,4.5,0.77
509,26.99,16733,0.66,0.19,0.07,0.04,0.04,4.4,1.09,26.99,11677,0.66,0.22,0.09,0.02,0.01,4.5,0.7,16.99,10192,0.69,0.2,0.01,0.03,0.07,4.4,1.31,17.99,15905,0.82,0.03,0.04,0.05,0.06,4.5,1.36
511,24.99,9140,0.82,0.03,0.04,0.05,0.06,4.5,1.36,26.99,14467,0.78,0.15,0.02,0.01,0.04,4.6,0.89,16.99,8431,0.77,0.11,0.07,0.04,0.01,4.6,0.74,15.99,8879,0.62,0.26,0.05,0.02,0.05,4.4,1.05
515,24.99,13954,0.61,0.26,0.08,0.04,0.01,4.4,0.8,28.99,8423,0.82,0.04,0.04,0.02,0.08,4.5,1.43,17.99,6732,0.72,0.18,0.07,0.02,0.01,4.6,0.62,15.99,10940,0.65,0.19,0.11,0.03,0.02,4.4,0.91
519,26.99,12306,0.72,0.13,0.11,0.01,0.03,4.5,0.87,24.99,15204,0.65,0.22,0.05,0.05,0.03,4.4,0.99,17.99,5626,0.65,0.25,0.07,0.01,0.02,4.5,0.67,17.99,11161,0.64,0.26,0.02,0.01,0.07,4.4,1.15
521,24.99,15003,0.71,0.17,0.01,0.02,0.09,4.4,1.43,26.99,12446,0.65,0.25,0.07,0.01,0.02,4.5,0.67,17.99,11357,0.65,0.25,0.07,0.01,0.02,4.5,0.67,16.99,14194,0.76,0.08,0.04,0.02,0.1,4.4,1.64
522,26.99,17526,0.75,0.17,0.03,0.02,0.03,4.6,0.79,24.99,15989,0.62,0.32,0.01,0.02,0.03,4.5,0.74,17.99,5926,0.83,0.05,0.03,0.04,0.05,4.6,1.1,17.99,7953,0.72,0.18,0.07,0.02,0.01,4.6,0.62
532,26.99,18841,0.82,0.05,0.02,0.01,0.1,4.5,1.5,28.99,12875,0.75,0.18,0.03,0.01,0.03,4.6,0.71,17.99,5043,0.62,0.32,0.01,0.02,0.03,4.5,0.74,15.99,13491,0.68,0.19,0.04,0.02,0.07,4.4,1.27
540,24.99,13224,0.62,0.24,0.08,0.05,0.01,4.4,0.86,28.99,11204,0.66,0.22,0.09,0.02,0.01,4.5,0.7,15.99,14252,0.76,0.08,0.02,0.06,0.08,4.4,1.54,16.99,17344,0.77,0.13,0.05,0.02,0.03,4.6,0.84
