"","e1_pr","e1_vol","e1_s1","e1_s2","e1_s3","e1_s4","e1_s5","e1_mean","e1_var","e2_pr","e2_vol","e2_s1","e2_s2","e2_s3","e2_s4","e2_s5","e2_mean","e2_var","b1_pr","b1_vol","b1_s1","b1_s2","b1_s3","b1_s4","b1_s5","b1_mean","b1_var","b2_pr","b2_vol","b2_s1","b2_s2","b2_s3","b2_s4","b2_s5","b2_mean","b2_var"
"16",24.99,17594,0.75,0.1,0.07,0.06,0.02,4.5,0.99,24.99,18069,0.57,0.28,0.11,0.03,0.01,4.4,0.72,14.99,11935,0.67,0.17,0.1,0.02,0.04,4.4,1.01,18.99,10731,0.87,0.02,0.02,0.01,0.08,4.6,1.29
"17",24.99,19507,0.61,0.3,0.01,0.04,0.04,4.4,1.01,26.99,18535,0.71,0.16,0.05,0.01,0.07,4.4,1.3,18.99,5994,0.67,0.17,0.1,0.02,0.04,4.4,1.01,18.99,10537,0.73,0.1,0.09,0.01,0.07,4.4,1.3
"18",26.99,19477,0.71,0.19,0.03,0.03,0.04,4.5,1.01,26.99,9012,0.63,0.3,0.03,0.01,0.03,4.5,0.7,14.99,8600,0.81,0.08,0.03,0.04,0.04,4.6,1,18.99,11458,0.6,0.31,0.01,0.03,0.05,4.4,0.99
"19",26.99,13417,0.65,0.23,0.09,0.02,0.01,4.5,0.69,24.99,18992,0.57,0.28,0.11,0.03,0.01,4.4,0.72,16.99,17222,0.72,0.13,0.07,0.05,0.03,4.5,0.99,14.99,6255,0.8,0.08,0.01,0.05,0.06,4.5,1.3
"20",28.99,7310,0.86,0.03,0.02,0.01,0.08,4.6,1.3,28.99,17797,0.65,0.22,0.06,0.03,0.04,4.4,0.99,14.99,14936,0.86,0.04,0.01,0.01,0.08,4.6,1.3,16.99,18226,0.63,0.3,0.03,0.01,0.03,4.5,0.7
"21",28.99,16981,0.77,0.11,0.03,0.01,0.08,4.5,1.31,28.99,13587,0.73,0.19,0.04,0.01,0.03,4.6,0.72,18.99,18613,0.72,0.14,0.04,0.03,0.07,4.4,1.32,18.99,15280,0.62,0.31,0.03,0.01,0.03,4.5,0.69
"22",26.99,13640,0.72,0.13,0.08,0.04,0.03,4.5,0.99,28.99,5739,0.77,0.11,0.07,0.04,0.01,4.6,0.7,18.99,9917,0.8,0.09,0.02,0.02,0.07,4.5,1.29,18.99,14045,0.77,0.11,0.07,0.04,0.01,4.6,0.7
"23",26.99,14913,0.56,0.32,0.09,0.02,0.01,4.4,0.68,24.99,11032,0.85,0.05,0.01,0.01,0.08,4.6,1.3,16.99,14684,0.74,0.11,0.08,0.04,0.03,4.5,1,16.99,14743,0.61,0.23,0.14,0.01,0.01,4.4,0.71
"24",28.99,16677,0.78,0.11,0.08,0.01,0.02,4.6,0.7,24.99,16998,0.66,0.14,0.14,0.03,0.03,4.4,1.02,18.99,9421,0.55,0.33,0.09,0.01,0.02,4.4,0.72,18.99,13946,0.77,0.11,0.03,0.02,0.07,4.5,1.3
"25",26.99,7475,0.61,0.23,0.14,0.01,0.01,4.4,0.71,26.99,18515,0.52,0.41,0.03,0.01,0.03,4.4,0.68,16.99,8416,0.66,0.2,0.11,0.02,0.01,4.5,0.69,18.99,9081,0.66,0.26,0.04,0.02,0.02,4.5,0.71
"26",28.99,14764,0.63,0.32,0.01,0.01,0.03,4.5,0.69,28.99,19321,0.81,0.1,0.02,0.02,0.05,4.6,0.99,14.99,9501,0.83,0.05,0.05,0.04,0.03,4.6,0.99,14.99,15201,0.73,0.19,0.04,0.01,0.03,4.6,0.72
"27",26.99,5666,0.87,0.02,0.02,0.01,0.08,4.6,1.29,26.99,6060,0.77,0.11,0.09,0.02,0.01,4.6,0.71,16.99,6879,0.77,0.11,0.07,0.04,0.01,4.6,0.7,16.99,16654,0.77,0.11,0.03,0.02,0.07,4.5,1.3
"28",28.99,16902,0.65,0.22,0.06,0.03,0.04,4.4,0.99,24.99,14810,0.81,0.11,0.01,0.02,0.05,4.6,1,14.99,12378,0.63,0.3,0.03,0.01,0.03,4.5,0.7,18.99,14858,0.53,0.37,0.06,0.02,0.02,4.4,0.7
"29",26.99,12245,0.78,0.12,0.01,0.01,0.08,4.5,1.31,28.99,16377,0.62,0.31,0.03,0.01,0.03,4.5,0.69,16.99,19570,0.73,0.18,0.04,0.03,0.02,4.6,0.69,14.99,11947,0.74,0.11,0.08,0.04,0.03,4.5,1
"30",24.99,6638,0.72,0.13,0.07,0.05,0.03,4.5,0.99,26.99,15145,0.72,0.14,0.04,0.03,0.07,4.4,1.32,18.99,18964,0.71,0.16,0.03,0.04,0.06,4.4,1.28,18.99,7551,0.76,0.12,0.09,0.02,0.01,4.6,0.69
"31",28.99,18296,0.77,0.11,0.03,0.01,0.08,4.5,1.31,26.99,5463,0.66,0.26,0.04,0.02,0.02,4.5,0.71,16.99,13164,0.71,0.16,0.03,0.04,0.06,4.4,1.28,18.99,12960,0.76,0.13,0.08,0.01,0.02,4.6,0.68
"32",28.99,13000,0.77,0.11,0.07,0.04,0.01,4.6,0.7,26.99,9468,0.62,0.31,0.03,0.01,0.03,4.5,0.7,18.99,5999,0.72,0.1,0.09,0.04,0.05,4.4,1.3,14.99,11882,0.65,0.22,0.06,0.03,0.04,4.4,0.99
"33",24.99,16761,0.55,0.33,0.09,0.01,0.02,4.4,0.72,26.99,11291,0.66,0.24,0.06,0.02,0.02,4.5,0.71,14.99,7627,0.87,0.02,0.02,0.01,0.08,4.6,1.29,18.99,8702,0.61,0.3,0.02,0.02,0.05,4.4,0.99
"34",24.99,14613,0.71,0.16,0.05,0.01,0.07,4.4,1.3,26.99,10153,0.67,0.22,0.01,0.02,0.08,4.4,1.32,14.99,5657,0.77,0.11,0.03,0.01,0.08,4.5,1.28,14.99,8329,0.71,0.16,0.03,0.04,0.06,4.4,1.28
"35",24.99,9532,0.81,0.1,0.02,0.02,0.05,4.6,0.99,28.99,19941,0.6,0.31,0.01,0.03,0.05,4.4,0.99,14.99,9714,0.78,0.11,0.08,0.01,0.02,4.6,0.7,18.99,19556,0.79,0.09,0.01,0.05,0.06,4.5,1.3
"36",28.99,16064,0.8,0.09,0.02,0.02,0.07,4.5,1.29,24.99,5147,0.72,0.13,0.08,0.04,0.03,4.5,0.99,14.99,11244,0.72,0.12,0.08,0.01,0.07,4.4,1.28,18.99,17703,0.55,0.35,0.07,0.01,0.02,4.4,0.7
"37",24.99,15955,0.77,0.11,0.03,0.01,0.08,4.5,1.31,24.99,16834,0.82,0.06,0.05,0.03,0.04,4.6,1.02,18.99,17901,0.7,0.2,0.03,0.03,0.04,4.5,1.01,16.99,13614,0.53,0.37,0.06,0.02,0.02,4.4,0.7
"38",26.99,18525,0.72,0.13,0.08,0.04,0.03,4.5,0.99,26.99,18718,0.66,0.26,0.04,0.02,0.02,4.5,0.71,18.99,6081,0.71,0.18,0.04,0.02,0.05,4.5,1,16.99,19071,0.79,0.13,0.01,0.01,0.06,4.6,1
"39",26.99,5588,0.67,0.17,0.1,0.02,0.04,4.4,1.01,24.99,9875,0.66,0.2,0.11,0.02,0.01,4.5,0.69,18.99,7565,0.8,0.09,0.02,0.02,0.07,4.5,1.29,16.99,8270,0.87,0.01,0.02,0.03,0.07,4.6,1.29
"40",28.99,7092,0.56,0.32,0.09,0.02,0.01,4.4,0.68,26.99,18200,0.75,0.12,0.07,0.02,0.04,4.5,1.02,16.99,6443,0.8,0.09,0.02,0.02,0.07,4.5,1.29,14.99,16259,0.77,0.11,0.09,0.01,0.02,4.6,0.72
"41",28.99,17999,0.54,0.41,0.01,0.01,0.03,4.4,0.69,26.99,12588,0.81,0.1,0.02,0.02,0.05,4.6,0.99,18.99,9326,0.87,0.02,0.02,0.01,0.08,4.6,1.29,14.99,12456,0.86,0.04,0.01,0.01,0.08,4.6,1.31
"42",26.99,11933,0.72,0.13,0.07,0.05,0.03,4.5,0.99,24.99,9592,0.79,0.13,0.01,0.01,0.06,4.6,1,14.99,7871,0.82,0.1,0.01,0.03,0.04,4.6,0.99,18.99,11375,0.75,0.12,0.07,0.02,0.04,4.5,1.02
"43",28.99,5108,0.67,0.17,0.1,0.02,0.04,4.4,1.01,24.99,13928,0.88,0.01,0.01,0.03,0.07,4.6,1.28,18.99,10489,0.77,0.11,0.07,0.04,0.01,4.6,0.7,16.99,9835,0.56,0.32,0.09,0.02,0.01,4.4,0.68
"44",26.99,15327,0.73,0.19,0.04,0.01,0.03,4.6,0.72,28.99,12214,0.62,0.31,0.03,0.01,0.03,4.5,0.69,16.99,18370,0.74,0.11,0.08,0.04,0.03,4.5,1,16.99,19583,0.78,0.11,0.08,0.01,0.02,4.6,0.7
"45",26.99,6411,0.71,0.16,0.05,0.01,0.07,4.4,1.3,24.99,14381,0.86,0.04,0.01,0.01,0.08,4.6,1.3,16.99,17858,0.86,0.04,0.01,0.01,0.08,4.6,1.3,14.99,13392,0.75,0.16,0.05,0.02,0.02,4.6,0.71
"46",24.99,14370,0.55,0.38,0.03,0.01,0.03,4.4,0.71,28.99,17890,0.66,0.24,0.06,0.02,0.02,4.5,0.71,18.99,14616,0.78,0.12,0.01,0.01,0.08,4.5,1.31,14.99,7850,0.71,0.11,0.1,0.01,0.07,4.4,1.32
"47",28.99,13216,0.72,0.14,0.04,0.03,0.07,4.4,1.32,28.99,15740,0.83,0.05,0.05,0.04,0.03,4.6,0.99,18.99,11414,0.62,0.32,0.02,0.02,0.02,4.5,0.68,16.99,5802,0.61,0.23,0.14,0.01,0.01,4.4,0.71
"48",26.99,5776,0.86,0.04,0.01,0.01,0.08,4.6,1.3,26.99,19033,0.67,0.17,0.1,0.02,0.04,4.4,1.01,14.99,9874,0.66,0.2,0.11,0.02,0.01,4.5,0.69,18.99,12337,0.85,0.05,0.01,0.01,0.08,4.6,1.3
"49",26.99,7621,0.55,0.38,0.03,0.01,0.03,4.4,0.71,28.99,11847,0.78,0.12,0.01,0.01,0.08,4.5,1.31,16.99,12776,0.7,0.2,0.03,0.03,0.04,4.5,1.01,14.99,13473,0.71,0.16,0.05,0.01,0.07,4.4,1.3
"50",28.99,19106,0.77,0.11,0.03,0.02,0.07,4.5,1.3,24.99,16673,0.61,0.3,0.01,0.04,0.04,4.4,1.01,18.99,10908,0.8,0.11,0.02,0.01,0.06,4.6,1.01,16.99,10059,0.86,0.03,0.02,0.01,0.08,4.6,1.3
"51",24.99,6561,0.75,0.12,0.08,0.04,0.01,4.6,0.69,28.99,16810,0.55,0.35,0.07,0.01,0.02,4.4,0.7,16.99,17354,0.76,0.12,0.09,0.02,0.01,4.6,0.69,18.99,7951,0.56,0.32,0.09,0.02,0.01,4.4,0.68
"52",24.99,13492,0.81,0.08,0.03,0.04,0.04,4.6,1,26.99,17004,0.61,0.3,0.01,0.04,0.04,4.4,1.01,16.99,10234,0.62,0.32,0.02,0.02,0.02,4.5,0.68,16.99,8396,0.86,0.04,0.01,0.01,0.08,4.6,1.3
"53",28.99,16402,0.57,0.32,0.07,0.03,0.01,4.4,0.7,26.99,15708,0.71,0.11,0.1,0.01,0.07,4.4,1.32,18.99,16121,0.77,0.11,0.07,0.04,0.01,4.6,0.7,18.99,9517,0.53,0.37,0.06,0.02,0.02,4.4,0.7
"54",28.99,6682,0.57,0.28,0.11,0.03,0.01,4.4,0.72,24.99,19943,0.82,0.1,0.01,0.03,0.04,4.6,0.99,18.99,9780,0.86,0.03,0.02,0.01,0.08,4.6,1.3,18.99,15294,0.62,0.31,0.03,0.01,0.03,4.5,0.7
"55",24.99,15713,0.55,0.35,0.07,0.01,0.02,4.4,0.7,24.99,16272,0.61,0.3,0.01,0.04,0.04,4.4,1.01,18.99,13495,0.71,0.18,0.04,0.02,0.05,4.5,1,14.99,5905,0.83,0.05,0.05,0.04,0.03,4.6,0.99
"56",24.99,19307,0.64,0.24,0.05,0.03,0.04,4.4,1,26.99,12985,0.8,0.11,0.02,0.01,0.06,4.6,1.01,18.99,6328,0.77,0.11,0.07,0.04,0.01,4.6,0.7,18.99,9735,0.77,0.12,0.02,0.01,0.08,4.5,1.31
"57",28.99,15287,0.81,0.08,0.03,0.04,0.04,4.6,1,26.99,16243,0.77,0.11,0.01,0.05,0.06,4.5,1.29,16.99,18087,0.56,0.32,0.09,0.02,0.01,4.4,0.68,14.99,6143,0.78,0.11,0.08,0.01,0.02,4.6,0.7
"58",26.99,12827,0.68,0.12,0.12,0.07,0.01,4.4,1,24.99,5069,0.87,0.01,0.02,0.03,0.07,4.6,1.29,14.99,6658,0.7,0.2,0.03,0.03,0.04,4.5,1.01,18.99,19718,0.78,0.12,0.01,0.01,0.08,4.5,1.31
"59",24.99,10742,0.77,0.11,0.09,0.02,0.01,4.6,0.71,28.99,14587,0.73,0.19,0.04,0.01,0.03,4.6,0.72,14.99,16344,0.87,0.02,0.02,0.01,0.08,4.6,1.32,18.99,12518,0.62,0.32,0.02,0.02,0.02,4.5,0.68
"60",24.99,14982,0.68,0.18,0.12,0.01,0.01,4.5,0.7,28.99,15603,0.65,0.23,0.09,0.02,0.01,4.5,0.69,18.99,17142,0.81,0.1,0.02,0.02,0.05,4.6,0.99,14.99,17170,0.69,0.21,0.04,0.01,0.05,4.5,0.98
"61",26.99,10845,0.71,0.11,0.1,0.01,0.07,4.4,1.32,24.99,19019,0.84,0.07,0.01,0.04,0.04,4.6,1.01,16.99,7683,0.66,0.2,0.11,0.02,0.01,4.5,0.69,14.99,18240,0.84,0.07,0.01,0.04,0.04,4.6,1.01
"62",28.99,18783,0.61,0.3,0.02,0.02,0.05,4.4,0.99,28.99,6211,0.81,0.11,0.01,0.02,0.05,4.6,1,18.99,10635,0.77,0.11,0.09,0.02,0.01,4.6,0.71,14.99,5929,0.72,0.12,0.08,0.01,0.07,4.4,1.28
"63",26.99,5860,0.78,0.12,0.01,0.01,0.08,4.5,1.31,26.99,11103,0.56,0.32,0.09,0.02,0.01,4.4,0.68,14.99,12248,0.52,0.41,0.03,0.01,0.03,4.4,0.68,14.99,19975,0.83,0.05,0.05,0.04,0.03,4.6,0.99
"64",26.99,11785,0.66,0.24,0.06,0.02,0.02,4.5,0.71,28.99,17111,0.66,0.14,0.14,0.03,0.03,4.4,1.02,14.99,19929,0.6,0.31,0.01,0.03,0.05,4.4,0.99,14.99,8790,0.77,0.11,0.09,0.02,0.01,4.6,0.71
"65",28.99,11417,0.87,0.02,0.02,0.01,0.08,4.6,1.29,26.99,19115,0.57,0.28,0.11,0.03,0.01,4.4,0.72,14.99,15629,0.77,0.12,0.02,0.01,0.08,4.5,1.31,14.99,16867,0.86,0.03,0.02,0.01,0.08,4.6,1.3
"66",26.99,13265,0.67,0.22,0.01,0.02,0.08,4.4,1.32,24.99,13754,0.75,0.12,0.08,0.04,0.01,4.6,0.69,16.99,11727,0.57,0.28,0.11,0.03,0.01,4.4,0.72,16.99,18671,0.7,0.2,0.03,0.03,0.04,4.5,0.99
"67",26.99,13347,0.75,0.16,0.05,0.02,0.02,4.6,0.71,26.99,18001,0.66,0.24,0.06,0.02,0.02,4.5,0.71,16.99,14974,0.77,0.12,0.02,0.01,0.08,4.5,1.31,16.99,18511,0.7,0.2,0.03,0.03,0.04,4.5,0.99
"68",24.99,9944,0.68,0.12,0.12,0.07,0.01,4.4,1,24.99,5166,0.86,0.04,0.01,0.01,0.08,4.6,1.3,16.99,7964,0.77,0.11,0.09,0.02,0.01,4.6,0.71,16.99,18473,0.78,0.12,0.01,0.01,0.08,4.5,1.31
"69",26.99,8802,0.76,0.13,0.08,0.01,0.02,4.6,0.68,26.99,15280,0.77,0.11,0.03,0.01,0.08,4.5,1.31,18.99,13077,0.79,0.09,0.01,0.05,0.06,4.5,1.3,18.99,8498,0.55,0.38,0.03,0.01,0.03,4.4,0.71
"70",26.99,12712,0.73,0.19,0.04,0.01,0.03,4.6,0.72,24.99,14281,0.77,0.11,0.01,0.05,0.06,4.5,1.29,14.99,12167,0.87,0.01,0.02,0.03,0.07,4.6,1.29,16.99,15731,0.77,0.11,0.03,0.01,0.08,4.5,1.28
"71",28.99,9719,0.72,0.12,0.08,0.01,0.07,4.4,1.28,26.99,19953,0.63,0.32,0.01,0.01,0.03,4.5,0.69,16.99,16900,0.75,0.16,0.05,0.02,0.02,4.6,0.71,18.99,19386,0.68,0.12,0.12,0.07,0.01,4.4,1
"72",28.99,9965,0.77,0.11,0.03,0.02,0.07,4.5,1.3,26.99,18727,0.82,0.1,0.01,0.03,0.04,4.6,0.99,18.99,6567,0.71,0.16,0.03,0.04,0.06,4.4,1.28,16.99,6006,0.77,0.11,0.01,0.05,0.06,4.5,1.29
"73",26.99,19136,0.77,0.12,0.02,0.01,0.08,4.5,1.31,26.99,10551,0.62,0.29,0.02,0.02,0.05,4.4,1.02,18.99,11248,0.67,0.17,0.1,0.02,0.04,4.4,1.01,16.99,18374,0.67,0.22,0.01,0.02,0.08,4.4,1.32
"74",28.99,9566,0.76,0.12,0.09,0.02,0.01,4.6,0.69,24.99,13080,0.56,0.32,0.09,0.02,0.01,4.4,0.68,14.99,19591,0.54,0.41,0.01,0.01,0.03,4.4,0.69,18.99,19410,0.77,0.11,0.07,0.04,0.01,4.6,0.7
"75",28.99,11206,0.66,0.26,0.04,0.02,0.02,4.5,0.71,24.99,17562,0.71,0.11,0.1,0.01,0.07,4.4,1.32,16.99,9529,0.77,0.11,0.03,0.01,0.08,4.5,1.31,14.99,10280,0.81,0.08,0.03,0.04,0.04,4.6,1
"76",28.99,18805,0.77,0.11,0.09,0.01,0.02,4.6,0.72,28.99,17406,0.81,0.1,0.02,0.02,0.05,4.6,0.99,14.99,9712,0.88,0.01,0.01,0.03,0.07,4.6,1.28,18.99,17902,0.7,0.2,0.03,0.03,0.04,4.5,1.01
"77",28.99,13176,0.68,0.12,0.12,0.07,0.01,4.4,1,24.99,18905,0.69,0.17,0.04,0.04,0.06,4.4,1.3,14.99,12572,0.56,0.32,0.09,0.02,0.01,4.4,0.68,16.99,6478,0.82,0.06,0.04,0.04,0.04,4.6,1
"78",24.99,6307,0.83,0.05,0.05,0.04,0.03,4.6,0.99,24.99,10505,0.79,0.13,0.01,0.01,0.06,4.6,1,18.99,15658,0.85,0.05,0.01,0.01,0.08,4.6,1.3,14.99,17514,0.71,0.18,0.04,0.02,0.05,4.5,1
"79",26.99,11819,0.66,0.17,0.12,0.01,0.04,4.4,0.99,28.99,5599,0.71,0.16,0.03,0.04,0.06,4.4,1.28,16.99,12590,0.86,0.03,0.02,0.01,0.08,4.6,1.3,16.99,13782,0.71,0.16,0.03,0.04,0.06,4.4,1.28
"80",26.99,6115,0.74,0.11,0.08,0.04,0.03,4.5,1,24.99,17616,0.84,0.07,0.01,0.04,0.04,4.6,1.01,16.99,17548,0.86,0.03,0.02,0.01,0.08,4.6,1.3,14.99,5972,0.72,0.12,0.08,0.01,0.07,4.4,1.28
"81",24.99,11332,0.77,0.11,0.03,0.01,0.08,4.5,1.28,24.99,12679,0.75,0.12,0.08,0.04,0.01,4.6,0.69,16.99,9746,0.8,0.09,0.02,0.02,0.07,4.5,1.29,16.99,14495,0.8,0.09,0.02,0.02,0.07,4.5,1.29
"82",24.99,15075,0.77,0.12,0.02,0.01,0.08,4.5,1.31,28.99,5636,0.71,0.16,0.03,0.04,0.06,4.4,1.28,18.99,8995,0.66,0.2,0.11,0.02,0.01,4.5,0.69,18.99,14713,0.72,0.13,0.07,0.05,0.03,4.5,0.99
"83",26.99,16852,0.65,0.22,0.06,0.03,0.04,4.4,0.99,28.99,9573,0.81,0.1,0.02,0.02,0.05,4.6,0.99,16.99,19857,0.73,0.1,0.09,0.01,0.07,4.4,1.3,16.99,5393,0.75,0.12,0.07,0.02,0.04,4.5,1.02
"84",26.99,6524,0.62,0.32,0.02,0.02,0.02,4.5,0.68,26.99,15913,0.81,0.11,0.01,0.02,0.05,4.6,1,18.99,13335,0.65,0.23,0.09,0.02,0.01,4.5,0.69,14.99,11726,0.84,0.07,0.01,0.04,0.04,4.6,1.01
"85",28.99,18366,0.63,0.3,0.03,0.01,0.03,4.5,0.7,28.99,17446,0.8,0.09,0.02,0.02,0.07,4.5,1.29,16.99,9517,0.82,0.06,0.05,0.03,0.04,4.6,1.02,16.99,16392,0.75,0.12,0.07,0.02,0.04,4.5,1.02
"86",24.99,8496,0.77,0.11,0.07,0.04,0.01,4.6,0.7,24.99,9104,0.72,0.13,0.07,0.05,0.03,4.5,0.99,14.99,18226,0.62,0.31,0.03,0.01,0.03,4.5,0.69,18.99,9207,0.8,0.11,0.02,0.01,0.06,4.6,1.01
"87",24.99,11039,0.77,0.11,0.09,0.02,0.01,4.6,0.71,26.99,15507,0.72,0.1,0.09,0.04,0.05,4.4,1.3,16.99,7815,0.84,0.07,0.01,0.04,0.04,4.6,1.01,16.99,15162,0.61,0.23,0.14,0.01,0.01,4.4,0.71
"88",24.99,13278,0.72,0.13,0.07,0.05,0.03,4.5,0.99,24.99,11160,0.75,0.1,0.07,0.06,0.02,4.5,0.99,16.99,13377,0.86,0.03,0.02,0.01,0.08,4.6,1.3,18.99,16593,0.6,0.31,0.01,0.03,0.05,4.4,0.99
"89",28.99,12453,0.62,0.31,0.03,0.01,0.03,4.5,0.7,26.99,6960,0.62,0.32,0.02,0.02,0.02,4.5,0.68,18.99,10836,0.72,0.13,0.08,0.04,0.03,4.5,0.99,16.99,15819,0.66,0.17,0.12,0.01,0.04,4.4,0.99
"90",26.99,11869,0.81,0.11,0.01,0.02,0.05,4.6,1,28.99,16834,0.63,0.32,0.01,0.01,0.03,4.5,0.69,18.99,18593,0.82,0.06,0.04,0.04,0.04,4.6,1,18.99,11380,0.87,0.01,0.01,0.05,0.06,4.6,1.28
"91",28.99,11673,0.74,0.11,0.08,0.04,0.03,4.5,1,28.99,14100,0.6,0.31,0.01,0.03,0.05,4.4,0.99,14.99,11086,0.84,0.07,0.01,0.04,0.04,4.6,1.01,16.99,18263,0.61,0.23,0.14,0.01,0.01,4.4,0.71
"92",28.99,17670,0.77,0.11,0.09,0.02,0.01,4.6,0.71,24.99,12434,0.57,0.32,0.07,0.03,0.01,4.4,0.7,16.99,5582,0.75,0.16,0.05,0.02,0.02,4.6,0.71,14.99,5921,0.67,0.17,0.1,0.02,0.04,4.4,1.01
"93",28.99,7844,0.66,0.2,0.11,0.02,0.01,4.5,0.69,26.99,11983,0.77,0.11,0.07,0.04,0.01,4.6,0.7,16.99,8478,0.76,0.12,0.09,0.02,0.01,4.6,0.69,14.99,6029,0.72,0.13,0.07,0.05,0.03,4.5,0.99
"94",26.99,7319,0.86,0.04,0.01,0.01,0.08,4.6,1.31,24.99,19508,0.78,0.12,0.01,0.01,0.08,4.5,1.31,18.99,9907,0.69,0.21,0.04,0.01,0.05,4.5,0.98,16.99,15807,0.68,0.18,0.12,0.01,0.01,4.5,0.7
"95",26.99,14781,0.78,0.11,0.08,0.01,0.02,4.6,0.7,24.99,9522,0.77,0.11,0.03,0.02,0.07,4.5,1.3,18.99,5872,0.57,0.28,0.11,0.03,0.01,4.4,0.72,18.99,13859,0.86,0.04,0.01,0.01,0.08,4.6,1.31
